"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2020-05-12T13:45:00.000Z","BUY",0.12244522,"DIS (Walt Disney Co/The)","STOCK",13.303673153,"USD","New York Stock Exchange",,,,,"Revolut",,false,
"2020-05-12T13:46:00.000Z","BUY",0.28918769,"AMAT (Applied Materials Inc)","STOCK",15.6999996901,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-05-12T18:34:00.000Z","SELL",0.03799415,"BYND (Beyond Meat Inc)","STOCK",5.50155292,"USD","Nasdaq",,,1.11,"USD","Revolut",,false,
"2020-06-01T13:49:00.000Z","SELL",0.02301204,"TSLA (Tesla Inc)","STOCK",19.995161556,"USD","Nasdaq",,,0.01,"USD","Revolut",,false,
"2020-06-02T18:03:00.000Z","SELL",0.08021083,"XYZ (Block Inc)","STOCK",6.9967907009,"USD","New York Stock Exchange",,,0.01,"USD","Revolut",,false,
"2020-06-04T13:54:00.000Z","BUY",0.32,"INTC (Intel Corp)","STOCK",20.0032,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-06-08T18:08:00.000Z","SELL",0.01606219,"TSLA (Tesla Inc)","STOCK",14.997266803,"USD","Nasdaq",,,0.01,"USD","Revolut",,false,
"2020-06-08T19:41:00.000Z","SELL",0.04302925,"BYND (Beyond Meat Inc)","STOCK",6.9995680975,"USD","Nasdaq",,,0.01,"USD","Revolut",,false,
"2020-06-10T14:11:00.000Z","SELL",0.02007169,"TSLA (Tesla Inc)","STOCK",20.0999910829,"USD","Nasdaq",,,0.01,"USD","Revolut",,false,
"2020-06-22T15:06:00.000Z","SELL",0.09589566,"XYZ (Block Inc)","STOCK",9.9980815116,"USD","New York Stock Exchange",,,1.19,"USD","Revolut",,false,
"2020-07-01T13:44:00.000Z","BUY",0.33704078,"INTC (Intel Corp)","STOCK",20.003370293,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-07-01T13:45:00.000Z","SELL",0.00993129,"TSLA (Tesla Inc)","STOCK",10.9994002395,"USD","Nasdaq",,,0.01,"USD","Revolut",,false,
"2020-07-01T13:51:00.000Z","BUY",0.13051422,"DIS (Walt Disney Co/The)","STOCK",15.0013044468,"USD","New York Stock Exchange",,,,,"Revolut",,false,
"2020-07-02T13:36:00.000Z","SELL",0.00982503,"TSLA (Tesla Inc)","STOCK",11.9954773773,"USD","Nasdaq",,,0.01,"USD","Revolut",,false,
"2020-07-07T15:03:00.000Z","SELL",0.09299442,"XYZ (Block Inc)","STOCK",11.9944202916,"USD","New York Stock Exchange",,,1.19,"USD","Revolut",,false,
"2020-07-07T18:16:00.000Z","SELL",0.00999642,"TSLA (Tesla Inc)","STOCK",13.9851915084,"USD","Nasdaq",,,1.19,"USD","Revolut",,false,
"2020-07-13T13:35:00.000Z","SELL",0.00877316,"TSLA (Tesla Inc)","STOCK",14.8881402516,"USD","Nasdaq",,,1.2,"USD","Revolut",,false,
"2020-07-20T18:15:00.000Z","BUY",0.17138939,"TWLO (Twilio Inc)","STOCK",45.058270631,"USD","New York Stock Exchange",,,1.2,"USD","Revolut",,false,
"2020-08-05T13:34:00.000Z","SELL",0.09594473,"XYZ (Block Inc)","STOCK",14.9740940111,"USD","New York Stock Exchange",,,0.01,"USD","Revolut",,false,
"2020-08-12T14:30:00.000Z","BUY",0.053,"TSLA (Tesla Inc)","STOCK",79.23023,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-08-17T14:02:00.000Z","BUY",0.51166598,"INTC (Intel Corp)","STOCK",24.9999997828,"USD","Nasdaq",,,,,"Revolut",,false,
