"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2024-09-06T15:22:00.000Z","BUY",1,"QCOM (QUALCOMM Inc)","STOCK",158.95,"USD","Nasdaq",,,,,"XTB",,false,
"2024-10-03T17:35:00.000Z","BUY",2,"TSLA (Tesla Inc)","STOCK",480.98,"USD","Nasdaq",,,,,"XTB",,false,
"2024-10-15T18:43:00.000Z","BUY",1,"VST (Vistra Corp)","STOCK",129.81,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2024-10-16T13:51:00.000Z","BUY",0.1449,"ASML (ASML Holding NV)","STOCK",100.005633,"USD","Nasdaq",,,,,"XTB",,false,
"2024-11-06T14:31:00.000Z","BUY",7,"TSLA (Tesla Inc)","STOCK",1992.48,"USD","Nasdaq",,,,,"XTB",,false,
"2024-11-07T20:28:00.000Z","BUY",0.0931,"BRK-B (Berkshire Hathaway Inc)","STOCK",42.992649,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2024-11-11T08:04:00.000Z","BUY",0.0674,"SXR8.DE (iShares Core S&P 500 UCITS ETF)","FUND",39.879232,"EUR","Xetra",,,,,"XTB",,false,
"2024-11-12T16:37:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",338.66,"USD","Nasdaq",,,,,"XTB",,false,
"2024-11-19T14:42:00.000Z","BUY",1,"AMAT (Applied Materials Inc)","STOCK",169.45,"USD","Nasdaq",,,,,"XTB",,false,
"2024-11-19T14:45:00.000Z","BUY",0.0922,"BRK-B (Berkshire Hathaway Inc)","STOCK",42.972576,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2024-11-20T18:47:00.000Z","BUY",0.263,"ASML (ASML Holding NV)","STOCK",170.88425,"USD","Nasdaq",,,,,"XTB",,false,
"2024-11-25T17:03:00.000Z","BUY",1,"AMD (Advanced Micro Devices Inc)","STOCK",141.2,"USD","Nasdaq",,,,,"XTB",,false,
"2024-12-02T14:32:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",357,"USD","Nasdaq",,,,,"XTB",,false,
"2024-12-02T14:42:00.000Z","BUY",1,"GOOGL (Alphabet Inc)","STOCK",170.43,"USD","Nasdaq",,,,,"XTB",,false,
"2024-12-06T20:34:00.000Z","BUY",0.0915,"BRK-B (Berkshire Hathaway Inc)","STOCK",42.991275,"USD","New York Stock Exchange",,,,,"XTB",,false,
