"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2019-07-01T16:09:00.000Z","BUY",1,"NVDA (NVIDIA Corp)","STOCK",167.05,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2019-07-01T16:12:00.000Z","BUY",1,"V (Visa Inc)","STOCK",173.62,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2019-07-01T16:13:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",229.41,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2019-07-18T13:56:00.000Z","BUY",1,"NOW (ServiceNow Inc)","STOCK",250,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2019-10-11T13:30:00.000Z","SELL",1,"AAPL (Apple Inc)","STOCK",233,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2019-10-15T13:31:00.000Z","BUY",1,"DIS (Walt Disney Co/The)","STOCK",130.07,"USD","New York Stock Exchange",,,7.95,"USD",,,false,
"2019-11-13T16:46:00.000Z","BUY",3,"MU (Micron Technology Inc)","STOCK",138.45,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2019-12-26T14:30:00.000Z","SELL",6,"AMD (Advanced Micro Devices Inc)","STOCK",282,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2019-12-26T15:37:00.000Z","SELL",1,"TSLA (Tesla Inc)","STOCK",433,"USD","Nasdaq",,,7.98,"USD","Fio",,false,
"2020-01-03T14:54:00.000Z","BUY",2,"XYZ (Block Inc)","STOCK",125.4,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2020-01-13T14:34:00.000Z","SELL",1,"AAPL (Apple Inc)","STOCK",313,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2020-01-13T19:28:00.000Z","SELL",1,"BABA (Alibaba Group Holding Ltd)","STOCK",231,"USD","New York Stock Exchange",,,7.97,"USD",,,false,
"2020-01-29T17:35:00.000Z","SELL",1,"META (Meta Platforms Inc)","STOCK",223,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2020-02-03T14:53:00.000Z","SELL",1,"TSLA (Tesla Inc)","STOCK",702,"USD","Nasdaq",,,7.98,"USD","Fio",,false,
"2020-02-04T14:30:00.000Z","SELL",1,"MSFT (Microsoft Corp)","STOCK",177.17,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2020-02-07T18:37:00.000Z","BUY",2,"DIS (Walt Disney Co/The)","STOCK",282.43,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2020-02-07T18:38:00.000Z","BUY",2,"DIS (Walt Disney Co/The)","STOCK",282.25,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2020-02-11T14:54:00.000Z","SELL",2,"NVDA (NVIDIA Corp)","STOCK",540,"USD","Nasdaq",,,7.98,"USD","Fio",,false,
"2020-03-23T13:37:00.000Z","BUY",2,"V (Visa Inc)","STOCK",280,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2020-03-25T15:59:00.000Z","BUY",4,"AMD (Advanced Micro Devices Inc)","STOCK",185.2,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2020-03-25T16:30:00.000Z","BUY",1,"NOW (ServiceNow Inc)","STOCK",272,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2020-04-25T14:11:00.000Z","BUY",4,"MU (Micron Technology Inc)","STOCK",168,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2020-06-10T13:30:00.000Z","SELL",1,"NVDA (NVIDIA Corp)","STOCK",367,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2020-06-11T15:03:00.000Z","BUY",29,"ERIC (Telefonaktiebolaget LM Ericsson)","STOCK",261,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2020-07-01T13:34:00.000Z","SELL",2,"XYZ (Block Inc)","STOCK",218,"USD","New York Stock Exchange",,,7.97,"USD","Fio",,false,
"2020-07-08T13:38:00.000Z","SELL",13,"NIO (NIO Inc)","STOCK",197.6,"USD","New York Stock Exchange",,,7.97,"USD","Fio",,false,
"2020-07-08T16:39:00.000Z","SELL",1,"NVDA (NVIDIA Corp)","STOCK",406,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2020-07-24T13:30:00.000Z","SELL",4,"AMD (Advanced Micro Devices Inc)","STOCK",256.44,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2020-08-12T14:59:00.000Z","BUY",3,"AYX (Alteryx Inc)","STOCK",335.82,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2020-08-25T17:19:00.000Z","SELL",1,"META (Meta Platforms Inc)","STOCK",280,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2020-08-28T13:31:00.000Z","BUY",1,"AYX (Alteryx Inc)","STOCK",125.39,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2020-08-28T13:34:00.000Z","BUY",7,"INTC (Intel Corp)","STOCK",346.85,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2020-08-28T13:35:00.000Z","BUY",5,"MU (Micron Technology Inc)","STOCK",222.85,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2020-08-31T13:30:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",442.68,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2020-08-31T13:31:00.000Z","BUY",2,"AAPL (Apple Inc)","STOCK",253.82,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2020-09-24T13:34:00.000Z","BUY",1,"SNOW (Snowflake Inc)","STOCK",210,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2020-09-30T19:14:00.000Z","BUY",7,"PLTR (Palantir Technologies Inc)","STOCK",70,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2020-12-29T15:02:00.000Z","BUY",3,"QS (QuantumScape Corp)","STOCK",300,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2021-01-04T14:49:00.000Z","SELL",3,"TSM (Taiwan Semiconductor Manufacturing Co Ltd)","STOCK",339.4100001,"USD","New York Stock Exchange",,,7.97,"USD","Fio",,false,
"2021-01-04T14:50:00.000Z","BUY",3,"QS (QuantumScape Corp)","STOCK",156.6500001,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
